classyfire_superclass,top_k_p_onlyms,top_k_p_lcms2struct,top_k_p_improvement,n_cand,n_isomers,n_class_support,k,ms2scorer,improvement_in_n
Alkaloids and derivatives,1.053435114503817,2.961832061068703,1.908396946564885,4979.0,"min=1, max=123, avg=16.2, med=11.0",131,1,CFM-ID,2.499999999999999
Benzenoids,4.6150521526405575,7.679943258248342,3.064891105607785,989.0,"min=1, max=51, avg=2.3, med=1.0",825,1,CFM-ID,25.285351621264226
Lipids and lipid-like molecules,8.81429476557527,16.232442885411043,7.418148119835776,83.0,"min=1, max=244, avg=11.7, med=3.0",1090,1,CFM-ID,80.85781450620996
Organic acids and derivatives,9.731105879438728,14.283776809547954,4.552670930109226,619.5,"min=1, max=93, avg=5.8, med=3.0",318,1,CFM-ID,14.477493557747339
Organic nitrogen compounds,11.864864864864872,12.702702702702707,0.8378378378378383,881.5,"min=1, max=18, avg=2.5, med=1.0",74,1,CFM-ID,0.6200000000000003
Organic oxygen compounds,20.093549476528196,30.640211640211632,10.546662163683438,88.5,"min=1, max=154, avg=11.4, med=3.0",188,1,CFM-ID,19.82772486772486
Organoheterocyclic compounds,4.897821132122795,8.181984278953102,3.2841631468303056,982.0,"min=1, max=101, avg=3.6, med=1.0",622,1,CFM-ID,20.4274947732845
Phenylpropanoids and polyketides,5.951762523191093,9.881261595547306,3.9294990723562138,247.0,"min=1, max=113, avg=7.5, med=3.0",539,1,CFM-ID,21.179999999999993
Alkaloids and derivatives,21.022900763358766,33.75572519083969,12.732824427480923,4979.0,"min=1, max=123, avg=16.2, med=11.0",131,20,CFM-ID,16.68000000000001
Benzenoids,40.22392183481301,47.453303984151425,7.229382149338437,989.0,"min=1, max=51, avg=2.3, med=1.0",825,20,CFM-ID,59.6424027320421
Lipids and lipid-like molecules,61.787074042932474,74.28280404610679,12.495730003174346,83.0,"min=1, max=244, avg=11.7, med=3.0",1090,20,CFM-ID,136.20345703460038
Organic acids and derivatives,52.52979676699929,60.92834312404051,8.398546357041212,619.5,"min=1, max=93, avg=5.8, med=3.0",318,20,CFM-ID,26.707377415391058
Organic nitrogen compounds,42.027027027027046,47.5675675675676,5.540540540540547,881.5,"min=1, max=18, avg=2.5, med=1.0",74,20,CFM-ID,4.100000000000005
Organic oxygen compounds,67.92960342346755,76.05786333445906,8.128259910991517,88.5,"min=1, max=154, avg=11.4, med=3.0",188,20,CFM-ID,15.281128632664052
Organoheterocyclic compounds,33.09701298183861,39.180224306204295,6.083211324365684,982.0,"min=1, max=101, avg=3.6, med=1.0",622,20,CFM-ID,37.83757443755455
Phenylpropanoids and polyketides,47.26901669758812,56.12987012987011,8.860853432282005,247.0,"min=1, max=113, avg=7.5, med=3.0",539,20,CFM-ID,47.76
Alkaloids and derivatives,3.907162012512529,14.671755725190847,10.764593712678312,4979.0,"min=1, max=123, avg=16.2, med=11.0",131,1,MetFrag,14.10161776360859
Benzenoids,5.741310685622275,10.565456012913641,4.824145327291364,989.0,"min=1, max=51, avg=2.3, med=1.0",825,1,MetFrag,39.79919895015375
Lipids and lipid-like molecules,8.987887119799526,19.6425474597358,10.654660339936274,83.0,"min=1, max=244, avg=11.7, med=3.0",1090,1,MetFrag,116.1357977053054
Organic acids and derivatives,10.501302092614978,19.151495277179862,8.650193184564875,619.5,"min=1, max=93, avg=5.8, med=3.0",318,1,MetFrag,27.507614326916304
Organic nitrogen compounds,3.2185260405350733,7.567567567567572,4.349041527032494,881.5,"min=1, max=18, avg=2.5, med=1.0",74,1,MetFrag,3.2182907300040453
Organic oxygen compounds,20.48865302215118,29.906675672633124,9.418022650481944,88.5,"min=1, max=154, avg=11.4, med=3.0",188,1,MetFrag,17.705882582906057
Organoheterocyclic compounds,6.331081851317472,9.18832998714859,2.8572481358311155,982.0,"min=1, max=101, avg=3.6, med=1.0",622,1,MetFrag,17.772083404869537
Phenylpropanoids and polyketides,6.0407289415919925,11.187384044526903,5.1466551029349095,247.0,"min=1, max=113, avg=7.5, med=3.0",539,1,MetFrag,27.74047100481916
Alkaloids and derivatives,28.038914550505005,34.351145038167914,6.312230487662937,4979.0,"min=1, max=123, avg=16.2, med=11.0",131,20,MetFrag,8.269021938838447
Benzenoids,43.8741946807249,53.87835644581408,10.004161765089181,989.0,"min=1, max=51, avg=2.3, med=1.0",825,20,MetFrag,82.53433456198574
Lipids and lipid-like molecules,57.989372396789456,71.71384001319795,13.724467616408479,83.0,"min=1, max=244, avg=11.7, med=3.0",1090,20,MetFrag,149.5966970188524
Organic acids and derivatives,58.62749691421814,69.34631477883201,10.718817864613836,619.5,"min=1, max=93, avg=5.8, med=3.0",318,20,MetFrag,34.085840809471996
Organic nitrogen compounds,40.21773008894516,45.67567567567569,5.4579455867305136,881.5,"min=1, max=18, avg=2.5, med=1.0",74,20,MetFrag,4.03887973418058
Organic oxygen compounds,69.74922797755546,77.86519193966002,8.115963962104566,88.5,"min=1, max=154, avg=11.4, med=3.0",188,20,MetFrag,15.258012248756584
Organoheterocyclic compounds,39.522754570222915,47.67389408164002,8.151139511417103,982.0,"min=1, max=101, avg=3.6, med=1.0",622,20,MetFrag,50.70008776101438
Phenylpropanoids and polyketides,41.03463770006407,52.0630797773655,11.02844207730143,247.0,"min=1, max=113, avg=7.5, med=3.0",539,20,MetFrag,59.443302796654706
Alkaloids and derivatives,38.61068702290075,42.13231552162849,3.5216284987277366,4979.0,"min=1, max=123, avg=16.2, med=11.0",131,1,SIRIUS,4.613333333333335
Benzenoids,28.742590065301933,28.53782962799913,-0.20476043730281013,989.0,"min=1, max=51, avg=2.3, med=1.0",825,1,SIRIUS,-1.6892736077481836
Lipids and lipid-like molecules,23.567679142827544,29.262252309661918,5.694573166834361,83.0,"min=1, max=244, avg=11.7, med=3.0",1090,1,SIRIUS,62.07084751849453
Organic acids and derivatives,39.46499781382313,39.73307835052013,0.26808053669700727,619.5,"min=1, max=93, avg=5.8, med=3.0",318,1,SIRIUS,0.852496106696483
Organic nitrogen compounds,44.871621621621614,42.38513513513512,-2.4864864864864886,881.5,"min=1, max=18, avg=2.5, med=1.0",74,1,SIRIUS,-1.8400000000000016
Organic oxygen compounds,29.009456592238624,34.68594450636588,5.676487914127229,88.5,"min=1, max=154, avg=11.4, med=3.0",188,1,SIRIUS,10.67179727855919
Organoheterocyclic compounds,32.92633404385996,32.92711080602622,0.0007767621662628699,982.0,"min=1, max=101, avg=3.6, med=1.0",622,1,SIRIUS,0.0048314606741550505
Phenylpropanoids and polyketides,24.346938775510203,26.43784786641929,2.0909090909090913,247.0,"min=1, max=113, avg=7.5, med=3.0",539,1,SIRIUS,11.270000000000003
Alkaloids and derivatives,75.96946564885496,77.81679389312974,1.8473282442748065,4979.0,"min=1, max=123, avg=16.2, med=11.0",131,20,SIRIUS,2.4199999999999964
Benzenoids,74.02350282485877,75.14060136473697,1.117098539878202,989.0,"min=1, max=51, avg=2.3, med=1.0",825,20,SIRIUS,9.216062953995168
Lipids and lipid-like molecules,70.78165827846041,74.8924024752007,4.1107441967402885,83.0,"min=1, max=244, avg=11.7, med=3.0",1090,20,SIRIUS,44.80711174446915
Organic acids and derivatives,78.35052351464915,80.7826463011921,2.432122786542993,619.5,"min=1, max=93, avg=5.8, med=3.0",318,20,SIRIUS,7.734150461206719
Organic nitrogen compounds,73.85585585585589,72.43243243243245,-1.4234234234234182,881.5,"min=1, max=18, avg=2.5, med=1.0",74,20,SIRIUS,-1.0533333333333295
Organic oxygen compounds,75.75650196611119,78.9184999172842,3.1619979511730287,88.5,"min=1, max=154, avg=11.4, med=3.0",188,20,SIRIUS,5.944556148205294
Organoheterocyclic compounds,68.30089340552144,69.33287742641404,1.031984020892581,982.0,"min=1, max=101, avg=3.6, med=1.0",622,20,SIRIUS,6.4189406099518544
Phenylpropanoids and polyketides,79.6437847866419,81.16512059369204,1.5213358070500933,247.0,"min=1, max=113, avg=7.5, med=3.0",539,20,SIRIUS,8.200000000000003
